sentence,emotion
강아지 해피가 어제 갑자기 세상을 떠났어.,sadness
강아지가 나를 막 무는 거야.,surprise
강아지가 신났었나봐. 앞으로 뛰어나가는 바람에 목줄이 끊어졌어.,surprise
강아지가 쓰레기를 먹더라고.,neutral
강아지가 죽고 말았어.,sadness
강아지들 너무 불쌍해.,sadness
강아지들은 너무 상처를 많이 받을꺼야.,sadness
강아지들을 사람들이 버리는 내용의 다큐멘터리였다.,sadness
강아지들이 밥도 못 먹고 병에 걸려서 그렇게 있더라고!,sadness
강아지를 키우다가 중간에 버리는 경우가 점점 많아져서 유기견 문제가 심각하대.,sadness
갖고 싶던건데 당첨돼서 너무 좋아.,happiness
갖고 싶었던 향수라서 기분 좋았는데 너 때문에 안좋아졌어.,regret
갖고 싶은 향수가 있었는데 한 명만 주는 거라 별로 기대 안 했는데 당첨돼서 너무 기뻐.,happiness
갖자고 해가지고. 근데 알고보니 새로운 사람 생겼나봐.,surprise
같아. 너무 힘들어.,tired
같은 과 동기였어.,neutral
같은 동기가 있긴 한데 매일 똑같이 힘들다란 얘길 하기가 참 좀 뭐해. 계속 힘들다라고 얘기하기가 좀 불편하다고 해야될까?,tired
같은 학원에서 만났어. 나 좋다고 할 땐 언제고.,regret
"같이 가자, 여행.",happiness
같이 가줄래? 혼자 있으니 더 가기 싫은데.,unrest
같이 공부하는 동료들은 있어.,neutral
"같이 달리는 크루가 있어서, 힘들 때 큰 힘이 된다.",happiness
같이 뛰기도 하고 혼자 뛰기도 해.,neutral
같이 뛰는 사람들은 있지. 같이 운동도 해.,neutral
같이 뛰는 크루가 있기는 한데 이번 대회는 그냥 혼자 나갔어.,happiness
같이 마라톤 준비하는 모임이 있어.,neutral
"같이 밥 먹던 친구가 발목을 다쳤는데, 다행히 큰 부상은 아닌 거 같아.",neutral
"같이 밥도 못 먹었고 이제 밥 먹으러 가야지.	",neutral
같이 밥먹던 친구가 발목 다쳤어. 진짜 그럴 땐 어떡해야해?,unrest
같이 밥이라도 먹을래?,neutral
같이 방을 쓰면서 그래도 자기가 어지럽힌 거는 청소를 해야하는거 아니야?,anger
같이 보증금을 내고 들어왔기 때문에 내가 보증금 일부를 빼줘야 해. 지금은 돈에 여유가 없어서 안 돼.,neutral
같이 사는 집에서 청소를 너무 안해. 청소는 나 혼자 하는 기분이야. 음식물 쓰레기도 안 버리고 아후 정말 짜증나.,anger
같이 사는 친구랑 너무 자주 싸우고 있어.,unrest
같이 사는게 너무 힘드니까 그 방법밖에 생각이 안나.,sadness
같이 사는게 돈도 절약되고 좋거든.,neutral
같이 사는데 같이 치워야되는거 아니야?,anger
같이 사는데 서로 너무 안 맞으면 힘들지. 알게 된 거는 이번이 처음이야.,neutral
같이 사는데 화내는 건 쉽지 않아.,tired
같이 사용하던 방을 너무 더럽게 쓰잖아.,anger
같이 산책갈래? 혼자 있으니까 더 우울한 것 같거든.,sadness
같이 살고싶진 않은데 계약 기간이 아직 남아서 어쩔 수가 없어.,regret
같이 서로 의지하면서 뛰는 모임이 있어.,happiness
같이 쓰는 방이니깐 청소하는 날짜도 정하고 방 깨끗이 사용하자고 말도 해봤는데 소용없더라고.,anger
같이 쓰는 화장실에서 정말 매너 꽝이다.,anger
같이 알바하다가 알게된 사이였어.,neutral
같이 운동하고 같이 대회 출전하는 크루가 있어.,happiness
같이 이야기해서 청소 날짜를 정한거야 그때는 잘 하겠다고 하고는 매번 약속을 어기고 있어.,anger
같이 일 하다가 알게 된 사람이야. ,neutral
같이 일하는 사람들이 병원에 가봤는데 다들 허리 디스크라고 그랬대.,neutral
같이 일하는 언니한테 많이 얘기하지.,neutral
같이 일하는 친구가 병원에 갔다왔는데 허리 디스크라고 그랬대. 그리고 주사를 놔줬는데 너무 아팠대.,unrest
같이 일하는 친구가 허리 통증 때문에 병원 갔다가 주사 맞고 말도 하기 힘들 정도로 고통스러웠대!,sadness
같이 있는 친구가 발목을 조금 다쳤는데 그것 말고는 괜찮은 것 같아.,neutral
같이 있던 사람들 중 한명은 다쳐서 병원에 갔어.,unrest
같이 있던 사람들도 다들 당황하고 놀라긴 했지만 상태는 괜찮은 것 같아. 대처하는 법을 아무도 몰라서 많이 놀랐던 것 같기도 해.,surprise
같이 있던 친구가 놀래서 다쳤어. 괜찮겠지?,unrest
같이 있었던 사람들 몇몇은 병원에 실려갔어. 다리를 삐었거든.,unrest
같이 있었던 사람들도 너무 놀래서 아직도 심장이 벌렁거린다고들 해.,surprise
같이 자취하는 친구랑 너무 자주 싸우게 돼.,anger
같이 저녁을 먹던 동료가 다쳤어.,unrest
같이 준비하던 친구들이 있어.,neutral
"같이 청소 시간을 정해 놨거든 그런데 청소 시간만 되면 약속 있다고 나가 버리잖아.	",anger
같이 학교 근처 카페에서 같이 아르바이트 하던 사이였어.,neutral
개 힘들어 진짜. 이놈의 화장실은 청소를 해도 곰팡이가 사라지질 않아!,anger
개같은 상사때문에 일이 좀 별로야.,anger
개를 예쁘다고 사놓고 끝까지 키우지도 않고 버리는 사람들이 엄청 많아졌대.,anger
개무섭지. 뭔 소리하는거야 지금.,unrest
걍 그렇지 뭐.,neutral
걔 나랑 고등학교 동창이잖아. 그때는 분명 깨끗했거든? 얘가 재수하더니 진짜 많이 힘들었나봐. 이렇게 어떻게 더러워졌지?,surprise
걔 다른 여자 생겼나봐. 나 차였어.,regret
걔 마음을 모르겠어.,neutral
걔 지금 연락도 안 받아.,unrest
걔 진짜 무서웠어.,surprise
걔 진짜 청소 더럽게 안해 진짜.,anger
걔가 나 싫은가 봐.,unrest
걔가 먼저 시간을 갖자고 했거든. 근데 그 사이에 새로운 사람이 생긴 거 같네?,regret
걔가 바람이 나버렸어. 그래서 헤어지게 됐어.,sadness
걔가 방을 너무 더럽게 쓴다니까.,anger
걔가 시간이 별로 없다그랬는데 너무 고민된다.,neutral
걔가 오랜만에 산책해서 그런지 막 목줄을 끊고 뛰어나가더라고.,surprise
걔네들도 나랑 비슷한 처지야.,neutral
걔는 너무 더러워.,anger
걔는 다 나만 시켜.,anger
걔는 항상 그래. 지겨워 죽겠어. 한두번도 아니고.,anger
걔는 벌써 다른 남자가 생긴 거 같더라.,unrest
걔는 상사라도 욕먹어도 싸!,anger
걔는 왜 나한테만 그래?,anger
걔는 자기 방청소도 안하고 음식물 쓰레기도 자꾸 나만 버리는 거 같애. 그래서 싸우게 돼.,anger
걔는 항상 음식을 먹고 치우지를 않아.,anger
걔는 화를 내도 달라지는게 없어.,regret
걔도 나도 청소를 안해.,neutral
걔도 나한테 욕했어.,anger
걔랑 나랑은 잘 안맞나봐.,sadness
걔랑 싸운거 알잖아. 걔도 나한테 질렸나봐. 그래서 그냥 내가 결국 헤어지자고 했어.,sadness
랑은 고등학교 동창인데 생활 습관이 달라서 계속 문제가 생겨.,tired
걔랑은 맨날 부딪히는 거 같애.,tired
걔를 키우는 사람이 많아졌는데 그만큼 유기견도 엄청 늘었다는 거야!,surprise
"거 같아. 너무 답답해서, 잠시 밖에 나와서 쉬어야될 거 같아.",unrest
거 같아. 진짜 고마워.,happiness
거 너무 좋지. 음악 들어볼까?,happiness
거 봐 너도 짭새가 왜 왔는지 궁금하지? 그래서 구경 갔었어.,surprise
"거기 다시는 안 시킬 거야.	",anger
거기 사람들도 다 이상해. 진짜 이 회사 어떻게 들어왔는지 모르겠어!,anger
거기 새로 생긴덴데 아 너무 별로야. 너는 시켜먹지 마.,anger
거기 안에 음식물 쓰레기가 있었는데 그게 엄청 상했어. 아.,anger
거기 있잖아. 요즘 바이러스 많은데.,unrest
거기까지는 생각을 못했어.,neutral
거기서 30분 정도 구경 했는데 사람들이 너무 많아서 알 수가 없어서 집에 왔어.,tired
거래처 직원이었어. 일도 잘하고 싹싹하고 예쁘고. 그래서 마음이 가서 사귀게 됐는데.,happiness
거실 청소도 안 하고 화장실 청소도 안해.,anger
거의 30분은 기다린 것 같아.,tired
거의 그 정도인 것 같애. 나도 내가 너무 자랑스러워.,happiness
"거의 그런 경우가 대부분이지만 기분이 안 좋았어.	",sadness
"거의 그렇지. 뭐, 이젠 그냥 결과만 기다리면 돼. 결과가 좋았으면 좋겠다.",unrest
거의 끝나가지고 마지막 희망이었는데.,sadness
거의 내가 청소를 하고 화를 내도 소용이 없어.,anger
거의 다 도착했어 라고 문자왔더라. 그 뒤론 연락도 없어. 한시간째 기다리고 있는데 거의 도착했다는데 휴.,anger
거의 마무리 됐으니까 끝난거지.,neutral
"거의 만날때마다 그랬던 거 같애. 근데 나도 자주 늦으니까 그냥 그러려니 했는데, 그냥 이번엔 너무 심한 것 같네.",anger
거의 매번 그러는 거 같애.,anger
거의 매번 똑같아. 아니 다른 사람들하고 약속 있을 때는 이렇진 않았거든? 근데 나랑 단둘이 약속있으면 꼭 이러더라고.,anger
거의 매번 이런식이야. 왜 약속을 안 지키는지 모르겠어.,anger
거의 매번? 그래서 기다릴 생각하면 화가 나.,anger
"거의 매일 같이 드시는 것 같아. 주에 다섯 번 이상은 드시니까, 술 버릇 때문에 가족들도 많이 힘들어 해.",sadness
거의 매일 드셔. 너무 속상해. 다들 지쳤어.,sadness
거의 매일 드셔. 알콜 중독자같아. 꼴 보기 싫어!,anger
"거의 매일 드셔서 건강도 걱정되고, 다치구, 그러니 너무 속상하고 힘들어.",sadness
거의 매일 마셔. 아무리 말해도 소용이 없어.,regret
거의 매일 마신다고 생각을 하면 돼. 사람이 어떻게 그렇게 마실 수가 있지?,surprise
거의 매일같이 하지. 근데 잘 들어주시지는 않네.,tired
"거의 매일이 야근이고 퇴근하고 나서도 또 연락이 오고. 왜이러지? 아, 진짜 너무한 거 아니야? 쉬는 시간은 줘야될 거 아니야!",anger
거의 맨날 드셔. 속상해 죽겠어!,sadness
거의 맨날 먹어. 일주일에 하루 이틀 빼곤 거의 술이야!,sadness
거의 사설로 운영되는 것 같더라.,neutral
거의 선수급이래.,neutral
거의 안 움직이니까 너무 무기력한 것 같애.,sadness
거의 일주일 내내 드셔. 적게는 5일 많게는 일주일 내내.,sadness
거의 자주 있는 일이라 속상한 것 보다 이제는 정말 지겨워.,tired
거의 한 시간째 기다리고 있어.,tired
거의 항상 그래. 그래서 원래 쟤는 늦게 오는구나 생각하고 기다리는 건데 오늘은 너무 늦잖아. 그러니까 내가 화가 나지.,anger
거진 바닥을 치고 있어. 어떻게 해야할지 속상해. 팔아야하는지.,sadness
거진 바닥이야. 도대체가 살릴 수가 있을지 걱정이야.,unrest
거진 바닥이야. 손해를 너무 많이 보고 있어. 속상해!,sadness
